State,Month,Qnt,CumQnt,Value,CumValue
RJ,04,60,60,3600000,3600000
RJ,05,577,637,28441940,32041940
RJ,06,177,814,6151600,38193540
RJ,07,208,1022,9571490,47765030
RJ,08,58,1080,3175540,50940570
AL,05,30,30,1624350,1624350
AL,06,105,135,5421750,7046100
AL,07,87,222,4182900,11229000
AL,08,2,224,96580,11325580
BA,05,60,60,3248700,3248700
BA,06,246,306,13483610,16732310
BA,07,355,661,16289930,33022240
BA,08,91,752,5044350,38066590
DF,06,200,200,11004650,11004650
DF,07,50,250,2800930,13805580
MA,05,45,45,2524350,2524350
MA,06,196,241,10331380,12855730
MA,07,49,290,2487250,15342980
MA,08,19,309,1034610,16377590
MG,06,389,389,21126810,21126810
MG,07,339,728,17024987,38151797
MG,08,173,901,9583720,47735517
MS,06,100,100,5355950,5355950
MS,07,119,219,6002380,11358330
MS,08,18,237,962900,12321230
MT,06,150,150,6848700,6848700
MT,07,90,240,4406730,11255430
MT,08,14,254,758030,12013460
AC,05,30,30,1682900,1682900
AC,06,120,150,6204650,7887550
AC,07,20,170,1141450,9029000
GO,05,25,25,1500000,1500000
GO,06,251,276,13686100,15186100
GO,07,296,572,13999890,29185990
GO,08,71,643,3803310,32989300
RO,05,65,65,3607250,3607250
RO,06,126,191,6745280,10352530
RO,07,84,275,4257400,14609930
RO,08,1,276,48290,14658220
RR,05,75,75,3914500,3914500
RR,06,50,125,2590150,6504650
RR,07,37,162,2079480,8584130
PA,04,80,80,4741450,4741450
PA,05,284,364,15318630,20060080
PA,06,42,406,2203830,22263910
PA,07,21,427,952640,23216550
PA,08,23,450,1262900,24479450
TO,05,20,20,965800,965800
TO,06,50,70,2824350,3790150
TO,07,55,125,2805280,6595430
AM,04,90,90,6403674,6403674
AM,05,88,178,4835020,11238694
AM,06,44,222,1674090,12912784
AP,04,45,45,3572900,3572900
AP,05,60,105,3470160,7043060
AP,06,20,125,1082900,8125960
PI,05,20,20,1082900,1082900
PI,06,70,90,3790150,4873050
PI,07,89,179,3694090,8567140
PI,08,18,197,986320,9553460
PE,04,20,20,1082900,1082900
PE,05,75,95,3973050,5055950
PE,06,40,135,2259480,7315430
PE,07,85,220,4373050,11688480
PE,08,3,223,144870,11833350
PB,05,130,130,7319890,7319890
PB,06,115,245,5867660,13187550
PB,07,87,332,4296990,17484540
SE,05,70,70,3790150,3790150
SE,06,60,130,3307250,7097400
SE,07,56,186,2794090,9891490
CE,04,45,45,2524350,2524350
CE,05,30,75,1682900,4207250
CE,06,105,180,5431600,9638850
CE,07,109,289,5685170,15324020
CE,08,32,321,1568700,16892720
RN,05,80,80,4331600,4331600
RN,06,97,177,5154610,9486210
RN,07,150,327,7186210,16672420
RN,08,3,330,168290,16840710
ES,04,10,10,541450,541450
ES,05,60,70,3248700,3790150
ES,06,85,155,4631600,8421750
ES,07,79,234,2820000,11241750
ES,08,21,255,1084350,12326100
SP,05,460,460,25023800,25023800
SP,06,296,756,15389000,40412800
SP,07,134,890,5560820,45973620
SP,08,211,1101,12781267,58754887
RS,06,297,297,16080410,16080410
RS,07,362,659,18853460,34933870
RS,08,69,728,3812120,38745990
SC,04,17,17,996580,996580
SC,06,56,73,3032120,4028700
SC,07,65,138,3313570,7342270
SC,08,5,143,300000,7642270
PR,04,20,20,1082900,1082900
PR,06,254,274,13206730,14289630
PR,07,291,565,15005990,29295620
PR,08,52,617,2768700,32064320
