DESTINO,latitude,longitude,MES,QT_MES,VL_MES
RIO DE JANEIRO,-22.25,-42.66,4,60,3600000
RIO DE JANEIRO,-22.25,-42.66,5,577,28441940
RIO DE JANEIRO,-22.25,-42.66,6,177,6151600
RIO DE JANEIRO,-22.25,-42.66,7,208,9571490
RIO DE JANEIRO,-22.25,-42.66,8,58,3175540
ALAGOAS,-9.62,-36.82,5,30,1624350
ALAGOAS,-9.62,-36.82,6,105,5421750
ALAGOAS,-9.62,-36.82,7,87,4182900
ALAGOAS,-9.62,-36.82,8,2,96580
BAHIA,-13.29,-41.71,5,60,3248700
BAHIA,-13.29,-41.71,6,246,13483610
BAHIA,-13.29,-41.71,7,355,16289930
BAHIA,-13.29,-41.71,8,91,5044350
DISTRITO FEDERAL,-15.83,-47.86,6,200,11004650
DISTRITO FEDERAL,-15.83,-47.86,7,50,2800930
MARANHAO,-5.42,-45.44,5,45,2524350
MARANHAO,-5.42,-45.44,6,196,10331380
MARANHAO,-5.42,-45.44,7,49,2487250
MARANHAO,-5.42,-45.44,8,19,1034610
MINAS GERAIS,-18.1,-44.38,6,389,21126810
MINAS GERAIS,-18.1,-44.38,7,339,17024987.6
MINAS GERAIS,-18.1,-44.38,8,173,9583720
MATO GROSSO DO SUL,-20.51,-54.54,6,100,5355950
MATO GROSSO DO SUL,-20.51,-54.54,7,119,6002380
MATO GROSSO DO SUL,-20.51,-54.54,8,18,962900
MATO GROSSO,-12.64,-55.42,6,150,6848700
MATO GROSSO,-12.64,-55.42,7,90,4406730
MATO GROSSO,-12.64,-55.42,8,14,758030
ACRE,-8.77,-70.55,5,30,1682900
ACRE,-8.77,-70.55,6,120,6204650
ACRE,-8.77,-70.55,7,20,1141450
GOIAS,-15.98,-49.86,5,25,1500000
GOIAS,-15.98,-49.86,6,251,13686100
GOIAS,-15.98,-49.86,7,256,12359890
GOIAS,-15.98,-49.86,8,71,3803310
RONDONIA,-10.83,-63.34,5,65,3607250
RONDONIA,-10.83,-63.34,6,126,6745280
RONDONIA,-10.83,-63.34,7,84,4257400
RONDONIA,-10.83,-63.34,8,1,48290
RORAIMA,1.99,-61.33,5,75,3914500
RORAIMA,1.99,-61.33,6,50,2590150
RORAIMA,1.99,-61.33,7,37,2079480
PARA,-3.79,-52.48,4,80,4741450
PARA,-3.79,-52.48,5,284,15318630
PARA,-3.79,-52.48,6,42,2203830
PARA,-3.79,-52.48,7,21,952640
PARA,-3.79,-52.48,8,23,1262900
TOCANTINS,-9.46,-48.26,5,20,965800
TOCANTINS,-9.46,-48.26,6,50,2824350
TOCANTINS,-9.46,-48.26,7,55,2805280
AMAZONAS,-3.47,-65.1,4,90,6403674.9
AMAZONAS,-3.47,-65.1,5,88,4835020
AMAZONAS,-3.47,-65.1,6,44,1674090
AMAPA,1.41,-51.77,4,45,3572900
AMAPA,1.41,-51.77,5,60,3470160
AMAPA,1.41,-51.77,6,20,1082900
PIAUI,-6.6,-42.28,5,20,1082900
PIAUI,-6.6,-42.28,6,70,3790150
PIAUI,-6.6,-42.28,7,89,3694090
PIAUI,-6.6,-42.28,8,18,986320
PERNAMBUCO,-8.38,-37.86,4,20,1082900
PERNAMBUCO,-8.38,-37.86,5,75,3973050
PERNAMBUCO,-8.38,-37.86,6,40,2259480
PERNAMBUCO,-8.38,-37.86,7,85,4373050
PERNAMBUCO,-8.38,-37.86,8,3,144870
PARAIBA,-7.28,-36.72,5,130,7319890
PARAIBA,-7.28,-36.72,6,115,5867660
PARAIBA,-7.28,-36.72,7,87,4296990
SERGIPE,-10.57,-37.45,5,70,3790150
SERGIPE,-10.57,-37.45,6,60,3307250
SERGIPE,-10.57,-37.45,7,56,2794090
CEARA,-5.2,-39.53,4,45,2524350
CEARA,-5.2,-39.53,5,30,1682900
CEARA,-5.2,-39.53,6,105,5431600
CEARA,-5.2,-39.53,7,109,5685170
CEARA,-5.2,-39.53,8,32,1568700
RIO GRANDE DO NORTE,-5.81,-36.59,5,80,4331600
RIO GRANDE DO NORTE,-5.81,-36.59,6,97,5154610
RIO GRANDE DO NORTE,-5.81,-36.59,7,150,7186210
RIO GRANDE DO NORTE,-5.81,-36.59,8,3,168290
ESPIRITO SANTO ,-19.9,-40.34,4,10,541450
ESPIRITO SANTO ,-19.9,-40.34,5,60,3248700
ESPIRITO SANTO ,-19.9,-40.34,6,85,4631600
ESPIRITO SANTO ,-19.9,-40.34,7,79,2820000
ESPIRITO SANTO ,-19.9,-40.34,8,21,1084350
SAO PAULO,-22.19,-48.79,5,460,25023800
SAO PAULO,-22.19,-48.79,6,296,15389000
SAO PAULO,-22.19,-48.79,7,134,5560820
SAO PAULO,-22.19,-48.79,8,211,12781267.6
RIO GRANDE DO SUL ,-30.17,-53.5,6,297,16080410
RIO GRANDE DO SUL ,-30.17,-53.5,7,362,18853460
RIO GRANDE DO SUL ,-30.17,-53.5,8,69,3812120
SANTA CATARINA,-27.45,-50.95,4,17,996580
SANTA CATARINA,-27.45,-50.95,6,56,3032120
SANTA CATARINA,-27.45,-50.95,7,65,3313570
SANTA CATARINA,-27.45,-50.95,8,5,300000
PARANA,-24.89,-51.55,4,20,1082900
PARANA,-24.89,-51.55,6,254,13206730
PARANA,-24.89,-51.55,7,291,15005990
PARANA,-24.89,-51.55,8,52,2768700
