,Estado,População,Respiradores,Abril,Maio,Junho,Julho,Agosto
0,Rondônia,1796460,494,494,559,685,769,770
1,Acre,894470,152,152,182,302,322,322
2,Amazonas,4207714,899,989,1077,1121,1121,1121
3,Roraima,631181,152,152,227,277,314,314
4,Pará,8690745,1412,1492,1776,1818,1839,1839
5,Amapá,861773,94,139,199,219,219,219
6,Tocantins,1590248,318,318,338,388,443,443
7,Maranhão,7114598,1064,1064,1109,1305,1354,1373
8,Piauí,3281480,450,450,470,540,629,647
9,Ceará,9187103,2137,2182,2212,2317,2426,2458
10,Rio Grande do Norte,3534165,807,807,887,984,1134,1137
11,Paraíba,4039277,918,918,1048,1163,1250,1250
12,Pernambuco,9616621,2897,2917,2992,3032,3117,3120
13,Alagoas,3351543,550,550,580,685,772,774
14,Sergipe,2318822,511,511,581,641,697,788
15,Bahia,14930634,3194,3194,3254,3500,3855,3946
16,Minas Gerais,21292666,6263,6263,6263,6652,6991,7164
17,Espírito Santo,4064052,1468,1478,1538,1623,1702,1723
18,Rio de Janeiro,17366189,7527,7587,8164,8341,8549,8607
19,São Paulo,46289333,18548,18548,19008,19304,19438,19649
20,Paraná,11516840,3784,3804,3804,4058,4349,4401
21,Santa Catarina,7252502,2119,2136,2136,2192,2257,2262
22,Rio Grande do Sul,11422973,3485,3485,3485,3782,4144,4213
23,Mato Grosso do Sul,2809394,909,909,909,1009,1128,1146
24,Mato Grosso,3526220,1404,1404,1404,1554,1644,1658
25,Goiás,7113540,1728,1728,1728,1979,2235,2306
26,Distrito Federal,3055149,2127,2127,2127,2327,2377,2377
